股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1102,亞泥,20080519,60.0,60.0,57.0,0.0526315789473684,0,5.263157894736842,20080519,60.0,0.0216666666666666,-0.73,58.9,10.88,28.6,0.2109,2.0843,1.2485,1.3287,78.85,64.38,14.469999999999999,84.07,76.14,7.929999999999993,10.593,6.475,4.084,27.528,77.394,8.909,6.4750000000000005,17.36,10.395,-5.130000000000003,0.0,0.018333333333333358,83.11,75.62,723577.25,0.287,0.072,1.6025,1.4766,2.1595,4.5131,56.8,0.056338028169014134,55.695,0.07729598707244816,-2.63
1104,環泥,20080325,21.5,21.5,20.45,0.0513447432762836,0,5.134474327628365,20080325,21.5,0.3953488372093023,-0.2511627906976743,20.8,47.3,49.01,0.233,0.2797,0.8977,0.8787,94.29,90.81,3.480000000000004,89.86,79.97,9.89,4.148,26.985,69.074,29.442,75.534,33.125,26.985,-12.628,10.975999999999999,-11.884999999999998,0.0,0.032558139534883686,55.08,44.15,132115.45,0.739,0.158,0.8628,1.7582,2.4265,2.0802,19.89,0.08094519859225738,17.325,0.24098124098124102,-10.79
1109,信大,20080520,16.1,16.1,14.9,0.0805369127516779,0,8.053691275167791,20080520,16.1,0.0,-0.6024844720496895,14.4,18.13,26.21,0.0837,1.2623,1.1258,0.8095,78.25,73.32,4.930000000000007,74.65,71.86,2.7900000000000063,11.524,9.584,25.5,29.012,18.807,9.524,9.581999999999999,9.915999999999999,1.4030000000000005,36.734,0.0,0.1055900621118013,57.7,43.68,30749.05,0.32,0.139,0.7925,0.7923,0.9112,1.1926,14.5,0.11034482758620699,13.345,0.2064443611839641,-5.015000000000001
1110,東泥,20080414,15.5,15.5,14.6,0.0616438356164383,0,6.164383561643838,20080414,15.5,0.2580645161290322,-0.5425806451612903,15.45,21.05,27.19,0.1491,0.4361,0.89,1.032,84.05,75.6,8.450000000000003,75.63,65.59,10.039999999999992,10.453,16.039,20.367,27.451,23.539,24.999,16.038999999999998,14.065999999999999,14.271,40.403,0.0,0.003225806451612949,71.98,58.54,86403.85,0.403,0.153,0.4317,0.8661,1.1883,1.1747,14.66,0.057298772169167796,13.43,0.15413253909158603,-6.7299999999999995
1234,黑松,20080417,20.1,20.1,18.8,0.0691489361702128,0,6.91489361702128,20080417,20.1,0.0074626865671641,-0.5323383084577115,19.85,20.12,29.29,0.0665,1.0496,1.025,0.9314,77.64,63.04,14.600000000000001,77.58,75.25,2.3299999999999983,11.038,1.11,37.604,29.854,8.861,14.663,1.1099999999999994,10.436,-5.85,51.314,0.0,0.01243781094527363,66.99,49.14,134315.2,0.309,0.094,0.7519,0.7602,1.9107,2.2457,18.46,0.0888407367280607,17.7225,0.1341515023275498,-9.795
1315,達新,20080409,30.9,30.9,29.5,0.047457627118644,0,4.745762711864402,20080409,30.9,0.0485436893203883,-0.5922330097087378,28.0,19.56,29.28,0.1277,0.4371,0.6613,0.8184,63.11,57.52,5.589999999999996,80.41,75.34,5.069999999999993,7.154,13.325,25.549,36.831,24.292,14.925,13.324000000000002,7.357,11.655999999999999,53.790000000000006,0.0,0.0938511326860841,76.3,63.12,37390.8,0.969,0.057,0.9236,1.6476,2.1763,2.4884,29.2,0.05821917808219176,28.0375,0.10209540793580016,-6.1450000000000005
1419,新紡,20080416,36.45,36.45,34.5,0.0565217391304348,0,5.652173913043487,20080416,36.45,0.0836762688614539,-0.6364883401920439,36.3,22.21,39.39,0.0832,1.0657,0.5323,0.9245,84.07,77.06,7.009999999999991,86.43,80.94,5.490000000000009,2.929,12.266,42.313,52.464,15.102,23.351,12.265999999999998,-2.116,11.982,85.155,0.0,0.004115226337448715,73.32,54.52,121609.85,1.001,0.18,0.8295,1.6027,3.4574,5.5109,34.95,0.04291845493562232,32.6775,0.11544640807895343,-25.14
2023,燁輝,20080520,18.6,18.6,17.85,0.042016806722689,0,4.201680672268907,20080520,18.6,0.0,-0.5709677419354838,18.0,23.87,30.29,0.085,1.0293,0.7995,0.7909,85.44,75.55,9.89,75.61,71.78,3.8299999999999983,18.915,19.06,33.874,36.081,19.963,19.0,19.058,15.846,21.381999999999998,45.357,0.0,0.03225806451612911,61.75,45.34,398020.15,0.4,0.205,0.7729,1.1863,0.9342,1.4297,16.96,0.0966981132075472,15.05,0.2358803986710964,-5.640000000000001
2412,中華電,20080122,72.0,72.0,67.5,0.0666666666666666,0,6.666666666666667,20080122,72.0,0.1555555555555555,-0.0722222222222222,67.6,5.09,14.54,0.1007,0.4097,0.5089,0.5593,75.26,75.81,-0.5499999999999972,69.91,65.87,4.039999999999992,9.2,12.71,27.004,37.82,26.753,8.183,12.71,5.943,,51.652,0.0,0.06111111111111119,71.79,65.22,,0.506,0.133,1.1771,4.1567,3.3964,4.2235,69.98,0.02886539011146036,65.515,0.09898496527512782,-1.705
2511,太子,20080328,26.45,26.45,25.0,0.0579999999999999,0,5.799999999999997,20080328,26.45,0.2249527410207939,-0.6937618147448016,26.25,39.03,30.99,0.0709,0.8809,0.5702,0.4878,85.44,81.93,3.509999999999991,80.98,64.88,16.10000000000001,12.003,52.583,41.436,16.781,11.696,54.49,52.583,9.415,62.254999999999995,21.866999999999997,0.0,0.007561436672967837,42.97,31.56,651105.6,0.685,0.125,0.8207,1.8655,2.764,2.3692,24.93,0.060970718010429185,22.0925,0.19723888197352032,-44.36
2534,宏盛,20080327,31.9,31.9,31.3,0.0191693290734823,0,1.916932907348236,20080327,31.9,0.1536050156739811,-0.6394984326018809,30.4,29.6,37.55,0.1741,0.4354,0.8547,0.7661,87.04,71.3,15.740000000000009,81.98,73.44,8.540000000000006,19.474,20.055,46.25,63.434,38.845,21.756,20.056,19.055,9.182,89.098,0.0,0.047021943573667714,68.24,53.89,398383.45,0.598,0.231,1.8778,1.5996,2.0605,1.9493,28.85,0.10571923743500856,26.7075,0.1944210427782458,-88.10499999999999
2536,宏普,20080225,49.6,49.6,48.55,0.0216271884654995,0,2.1627188465499576,20080225,49.6,0.344758064516129,-0.3810483870967742,48.0,56.47,49.9,0.2042,0.9923,1.0438,0.9357,92.55,84.74,7.810000000000002,94.16,83.26,10.899999999999991,17.157,13.325,74.706,60.622,48.974,20.388,13.324000000000002,19.737000000000002,-75.428,66.792,0.0,0.03225806451612906,55.9,39.37,272852.1,1.234,0.174,3.3689,3.1121,7.1748,5.2364,44.23,0.1214108071444722,40.3125,0.23038759689922483,-36.495
2545,皇翔,20080325,97.5,97.5,92.5,0.054054054054054,0,5.405405405405405,20080325,97.5,0.1179487179487179,-0.6846153846153846,95.0,35.72,34.46,0.1074,0.8471,0.8773,0.8547,81.93,72.61,9.320000000000007,85.08,83.5,1.5799999999999983,8.083,5.477,114.216,35.793,22.028,11.617,5.477000000000001,0.0259999999999998,-8.155,59.303,0.0,0.02564102564102564,60.75,45.18,194829.85,1.279,0.303,4.1687,5.1755,13.4731,12.2234,88.54,0.10119719900609886,81.44,0.19720039292730848,-28.195
2880,華南金,20080306,26.2,26.2,25.55,0.0254403131115459,0,2.544031311154593,20080306,26.2,0.234732824427481,-0.1755725190839694,25.85,14.46,16.01,0.002,1.0652,0.9247,0.969,83.62,80.06,3.5600000000000023,85.66,73.83,11.829999999999998,0.035,-1.98,18.821,25.138,-0.563,10.851,-1.9799999999999986,0.516,-22.093,48.202,0.0,0.013358778625954117,74.11,60.2,270416.15,0.251,0.029,0.476,0.8678,1.5086,1.2816,25.27,0.03680253264740798,24.3975,0.07388052054513776,-11.875
2889,國票金,20080324,12.5,12.5,11.9,0.0504201680672268,0,5.042016806722685,20080324,12.5,0.092,-0.38,12.45,6.27,15.81,0.0861,0.2875,0.3329,0.5297,63.07,55.43,7.640000000000001,79.37,81.78,-2.4099999999999966,-6.394,-9.331,11.029,20.861,15.279,0.0,-9.331,-6.982,-10.491,27.157,0.0,0.0040000000000000565,65.14,51.76,81653.0,0.034,-0.007,0.1691,0.1418,0.7226,0.7057,11.82,0.05752961082910319,11.87,0.05307497893850049,-37.51
2892,第一金,20080115,28.6,28.6,27.7,0.0324909747292419,0,3.249097472924196,20080115,28.6,0.3566433566433565,-0.1433566433566434,27.0,17.16,25.61,0.0699,0.9707,0.8191,0.7883,89.76,77.91,11.850000000000009,64.24,46.37,17.869999999999997,9.471,15.339,29.629,34.008,18.029,19.167,15.339000000000002,-0.4659999999999993,9.923,48.400000000000006,0.0,0.05594405594405599,73.95,63.48,598685.55,0.214,0.154,1.4896,1.2381,0.9753,1.2576,26.0,0.10000000000000006,24.415,0.17141101781691592,-26.785
5512,力麒,20080411,29.0,29.0,27.8,0.0431654676258992,0,4.316546762589925,20080411,29.0,0.1568965517241378,-0.8110344827586207,28.55,41.78,48.35,0.1731,0.8351,0.6421,0.8562,83.46,74.2,9.259999999999991,86.34,84.17,2.1700000000000017,15.93,25.625,97.183,66.884,19.44,31.925,25.626,21.238,-0.8230000000000004,103.947,0.0,0.01551724137931032,62.82,43.43,379166.75,0.599,0.081,1.2619,2.1001,3.9754,3.9871,26.69,0.08654926938928433,24.1475,0.2009524795527487,-49.825
5523,豐謙,20080421,31.95,31.95,30.25,0.0561983471074379,0,5.619834710743799,20080421,31.95,0.1721439749608765,-0.7840375586854459,31.0,26.16,36.07,0.1551,0.7984,0.5331,0.5,78.47,74.63,3.8400000000000034,82.83,77.37,5.459999999999994,4.734,12.274,20.316,65.815,17.727,18.824,12.275000000000002,-2.649,-4.8930000000000025,107.12,0.0,0.02973395931142408,60.56,46.3,62882.45,1.689,0.411,0.8304,1.6405,2.759,3.0639,29.33,0.08932833276508698,26.995,0.1835525097240229,-68.815
5533,皇鼎,20080325,34.45,34.45,32.75,0.0519083969465649,0,5.190839694656497,20080325,34.45,0.1175616835994193,-0.6516690856313498,33.0,33.89,47.21,0.2728,0.1661,0.6367,0.7372,85.46,75.57,9.89,84.74,79.13,5.609999999999999,3.455,18.627,64.991,52.295,54.689,24.767,18.627,-10.593,22.393,62.010000000000005,0.0,0.042089985486211984,53.95,38.61,94485.75,0.574,0.144,1.4126,2.072,3.4041,3.2299,31.46,0.09504132231404964,28.6075,0.2042296600541816,-77.765
5534,長虹,20080415,107.0,107.0,97.1,0.101956745623069,0,10.195674562306907,20080415,107.0,0.0373831775700934,-0.7467289719626169,103.0,24.79,57.28,0.2808,0.9141,0.9543,0.8998,85.59,74.56,11.030000000000001,78.03,73.56,4.469999999999999,11.975,30.647,35.435,84.203,85.506,40.0,30.646,8.578,46.384,96.066,0.0,0.037383177570093455,75.66,55.85,304101.1,1.039,0.295,4.3651,5.9597,7.86,14.5972,97.66,0.0956379275035839,91.055,0.17511394212289266,-39.145
5607,遠雄港,20080122,29.5,29.5,25.95,0.1368015414258189,0,13.680154142581893,20080122,29.5,0.9152542372881356,-0.1525423728813559,26.7,37.6,35.15,0.1948,0.3737,0.3934,0.5834,85.23,84.01,1.2199999999999989,73.37,56.24,17.130000000000003,19.674,51.756,60.626,47.723,52.92,47.23,51.757,2.875,47.679,48.306,0.0,0.09491525423728817,50.01,41.34,26897.75,1.74,0.604,1.377,2.9227,2.1866,1.5947,26.35,0.11954459203036047,22.21,0.3282305267897343,-23.97
6005,群益證,20080324,24.5,24.5,24.5,0.0,0,0.0,20080324,24.5,0.073469387755102,-0.5122448979591837,23.9,29.78,38.85,0.1679,1.0911,1.2746,1.3258,82.61,70.82,11.790000000000006,93.87,87.56,6.310000000000002,2.685,8.175,65.407,34.355,53.994,17.506,8.175,-4.702999999999999,0.5620000000000003,23.878999999999998,0.0,0.024489795918367405,70.41,61.06,292337.25,0.458,0.063,1.0602,0.916,2.5703,2.2074,22.65,0.08167770419426056,21.6725,0.13046487484138888,-2.2149999999999963
6276,安鈦克,20080424,22.65,22.65,21.0,0.0785714285714285,0,7.85714285714285,20080424,22.65,0.0066225165562914,-0.8609271523178809,18.7,33.78,49.4,0.2908,0.3081,0.3289,0.401,89.64,84.1,5.540000000000006,83.69,72.79,10.899999999999991,24.093,28.415,25.975,69.234,50.171,29.825,28.415,17.323,23.365,98.225,0.0,0.17439293598233993,77.94,73.82,32386.4,3.733,1.738,0.9383,1.8871,1.5676,1.5488,20.81,0.08841902931283037,17.735,0.27713560755568084,-22.97
